År;Måned nr;Måned;Antal graddage;Normal
2023;1;Januar;495;528
2023;2;Februar;437;468
2023;3;Marts;521;468
2023;4;April;363;336
2023;5;Maj;249;208
2023;6;Juni;110;102
2023;7;Juli;140;88
2023;8;August;125;87
2023;9;September;117;143
2023;10;Oktober;323;257
2023;11;November;469;369
2023;12;December;534;464
2024;1;Januar;611;528
2024;2;Februar;456;468
2024;3;Marts;454;468
2024;4;April;366;336
2024;5;Maj;148;208
2024;6;Juni;168;102
2024;7;Juli;115;88
2024;8;August;101;87
2024;9;September;175;143
2024;10;Oktober;281;257
2024;11;November;412;369
2024;12;December;450;464
2025;1;Januar;522;528
2025;2;Februar;496;468
2025;3;Marts;437;468
2025;4;April;323;336
2025;5;Maj;254;208
2025;6;Juni;149;102
2025;7;Juli;89;88
2025;8;August;111;87
2025;9;September;164;143
2025;10;Oktober;298;257
2025;11;November;410;369
2025;12;December;443;464
